text,severity,departments
베트남 관세율 조정 — 기존 5% → 25%,MEDIUM,개발본부
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,개발본부
미국 시장 진입 불가 — 필수 인가 미취득,HIGH,"품질보증팀,구매팀"
DASH COMPL 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"해외지원팀,영업팀"
CCH 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"개발본부,품질보증팀"
CBAM 규제 기준 강화 — 2026-08까지 대응 필요,MEDIUM,해외지원팀
시범 사업 모집 — 스마트팩토리 참여 기업 우대,LOW,개발본부
고온 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,품질보증팀
ISO 45001 가이드라인 개정 — 자발적 적용 권고,LOW,품질보증팀
소음 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,구매팀
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,개발본부
업계 협의체 구성 — 재활용 표준 제정 논의 시작,LOW,해외지원팀
"EU 인센티브 프로그램 신설 — 세액공제 $7,500 적용 가능",LOW,ESG경영팀
납 사용 제한 강화 — 허용 농도 0.5ppm 이하로 변경,MEDIUM,개발본부
업계 협의체 구성 — 재활용 표준 제정 논의 시작,LOW,ESG경영팀
OEM 납품 중단 통보 — 불량률 기준 미달,HIGH,"개발본부,품질보증팀"
형사 처벌 대상 — 화학물질관리법 위반으로 대표이사 고발 가능,HIGH,"안전보건팀,생산본부"
시범 사업 모집 — ESG 참여 기업 우대,LOW,해외지원팀
CBAM 가이드라인 개정 — 자발적 적용 권고,LOW,품질보증팀
프탈레이트 사용 제한 강화 — 허용 농도 1.0ppm 이하로 변경,MEDIUM,개발본부
수은 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"해외지원팀,영업팀"
서브프레임 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,구매팀
RoHS 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"해외지원팀,영업팀"
6가 크롬 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"ESG경영팀,재경팀"
CBAM 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"품질보증팀,구매팀"
모니터링 강화 대상 지정 — 무역 분야 정기 감사,MEDIUM,ESG경영팀
OEM 납품 중단 통보 — 측정시스템 기준 미달,HIGH,"개발본부,품질보증팀"
한국 시장 진입 불가 — 필수 인가 미취득,HIGH,"개발본부,품질보증팀"
모니터링 강화 대상 지정 — 환경 분야 정기 감사,MEDIUM,구매팀
교육 의무 신설 — 40시간 연간 교육 이수 권고,LOW,품질보증팀
베트남 관세율 조정 — 기존 8% → 25%,MEDIUM,ESG경영팀
업계 협의체 구성 — 탄소중립 표준 제정 논의 시작,LOW,개발본부
산업 동향 보고서 — 순환경제 분야 향후 규제 예고,LOW,품질보증팀
작업장 조업 중단 명령 — 소음 기준 중대 위반,HIGH,"해외지원팀,영업팀"
시범 사업 모집 — 스마트팩토리 참여 기업 우대,LOW,ESG경영팀
아스베스트 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"ESG경영팀,재경팀"
모니터링 강화 대상 지정 — 품질 분야 정기 감사,MEDIUM,ESG경영팀
화재 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,품질보증팀
카드뮴 사용 제한 강화 — 허용 농도 5.0ppm 이하로 변경,MEDIUM,품질보증팀
CCH 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,안전보건팀
ISO 45001 규제 기준 강화 — 2026-07까지 대응 필요,MEDIUM,구매팀
6가 크롬 사용 제한 강화 — 허용 농도 0.1ppm 이하로 변경,MEDIUM,개발본부
EWP 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"개발본부,품질보증팀"
수은 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"해외지원팀,영업팀"
중국 관세율 조정 — 기존 5% → 20%,MEDIUM,안전보건팀
벤젠 사용 제한 강화 — 허용 농도 5.0ppm 이하로 변경,MEDIUM,개발본부
수은 사용 제한 강화 — 허용 농도 0.1ppm 이하로 변경,MEDIUM,해외지원팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,개발본부
OEM 납품 중단 통보 — 공정능력 기준 미달,HIGH,"품질보증팀,구매팀"
단계적 적용 예정 — 2029년부터 본격 시행,LOW,해외지원팀
아스베스트 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"개발본부,품질보증팀"
"중국 인센티브 프로그램 신설 — 세액공제 $5,000 적용 가능",LOW,ESG경영팀
배터리 케이스 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,안전보건팀
시범 사업 모집 — ESG 참여 기업 우대,LOW,품질보증팀
작업장 조업 중단 명령 — 전기 안전 기준 중대 위반,HIGH,"품질보증팀,구매팀"
미국 시장 진입 불가 — 필수 인가 미취득,HIGH,"안전보건팀,생산본부"
단계적 적용 예정 — 2027년부터 본격 시행,LOW,해외지원팀
시범 사업 모집 — 스마트팩토리 참여 기업 우대,LOW,해외지원팀
범퍼빔 수출 금지 조치 발동 — 관세 40% 부과 확정,HIGH,"ESG경영팀,재경팀"
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,품질보증팀
"EU 인센티브 프로그램 신설 — 세액공제 $5,000 적용 가능",LOW,품질보증팀
업계 협의체 구성 — 재활용 표준 제정 논의 시작,LOW,해외지원팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,해외지원팀
시범 사업 모집 — 친환경 참여 기업 우대,LOW,품질보증팀
업계 협의체 구성 — 안전 표준 제정 논의 시작,LOW,해외지원팀
서브프레임 수출 금지 조치 발동 — 관세 10% 부과 확정,HIGH,"ESG경영팀,재경팀"
베트남 시장 진입 불가 — 필수 인가 미취득,HIGH,"품질보증팀,구매팀"
CCH 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,안전보건팀
IATF 16949 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"해외지원팀,영업팀"
산업 동향 보고서 — EV 안전 분야 향후 규제 예고,LOW,해외지원팀
보고 의무 신설 — 유해물질 분기별 제출 의무화,MEDIUM,ESG경영팀
업계 협의체 구성 — 재활용 표준 제정 논의 시작,LOW,ESG경영팀
범퍼빔 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,해외지원팀
교육 의무 신설 — 40시간 연간 교육 이수 권고,LOW,ESG경영팀
보고 의무 신설 — 안전 분기별 제출 의무화,MEDIUM,구매팀
산업 동향 보고서 — EV 안전 분야 향후 규제 예고,LOW,해외지원팀
업계 협의체 구성 — 탄소중립 표준 제정 논의 시작,LOW,해외지원팀
작업장 조업 중단 명령 — 유해화학물질 기준 중대 위반,HIGH,"품질보증팀,구매팀"
전기 안전 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,ESG경영팀
교육 의무 신설 — 40시간 연간 교육 이수 권고,LOW,ESG경영팀
교육 의무 신설 — 16시간 연간 교육 이수 권고,LOW,품질보증팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,해외지원팀
업계 협의체 구성 — 안전 표준 제정 논의 시작,LOW,개발본부
형사 처벌 대상 — 품질경영법 위반으로 대표이사 고발 가능,HIGH,"ESG경영팀,재경팀"
보고 의무 신설 — 유해물질 분기별 제출 의무화,MEDIUM,해외지원팀
단계적 적용 예정 — 2030년부터 본격 시행,LOW,품질보증팀
DASH COMPL 수출 금지 조치 발동 — 관세 10% 부과 확정,HIGH,"안전보건팀,생산본부"
미국 관세율 조정 — 기존 8% → 15%,MEDIUM,구매팀
PFAS 사용 제한 강화 — 허용 농도 1.0ppm 이하로 변경,MEDIUM,해외지원팀
ISO 45001 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"해외지원팀,영업팀"
형사 처벌 대상 — 품질경영법 위반으로 대표이사 고발 가능,HIGH,"안전보건팀,생산본부"
보고 의무 신설 — ESG 분기별 제출 의무화,MEDIUM,ESG경영팀
산업 동향 보고서 — 탄소규제 분야 향후 규제 예고,LOW,ESG경영팀
시범 사업 모집 — 스마트팩토리 참여 기업 우대,LOW,품질보증팀
모니터링 강화 대상 지정 — 안전 분야 정기 감사,MEDIUM,구매팀
보고 의무 신설 — 배출량 분기별 제출 의무화,MEDIUM,ESG경영팀
PFAS 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"개발본부,품질보증팀"
범퍼빔 수출 금지 조치 발동 — 관세 40% 부과 확정,HIGH,"개발본부,품질보증팀"
EWP 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,해외지원팀
카드뮴 사용 제한 강화 — 허용 농도 0.1ppm 이하로 변경,MEDIUM,구매팀
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,해외지원팀
업계 협의체 구성 — 안전 표준 제정 논의 시작,LOW,품질보증팀
벤젠 사용 제한 강화 — 허용 농도 0.5ppm 이하로 변경,MEDIUM,해외지원팀
배터리 케이스 수출 금지 조치 발동 — 관세 25% 부과 확정,HIGH,"품질보증팀,구매팀"
모니터링 강화 대상 지정 — 안전 분야 정기 감사,MEDIUM,안전보건팀
업계 협의체 구성 — 재활용 표준 제정 논의 시작,LOW,품질보증팀
DASH COMPL 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"해외지원팀,영업팀"
단계적 적용 예정 — 2030년부터 본격 시행,LOW,개발본부
"미국 인센티브 프로그램 신설 — 세액공제 $5,000 적용 가능",LOW,품질보증팀
EU 관세율 조정 — 기존 5% → 25%,MEDIUM,ESG경영팀
작업장 조업 중단 명령 — 기계 안전 기준 중대 위반,HIGH,"안전보건팀,생산본부"
시범 사업 모집 — ESG 참여 기업 우대,LOW,품질보증팀
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,품질보증팀
업계 협의체 구성 — 탄소중립 표준 제정 논의 시작,LOW,품질보증팀
납 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"안전보건팀,생산본부"
화재 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,구매팀
업계 협의체 구성 — 안전 표준 제정 논의 시작,LOW,해외지원팀
EWP 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,해외지원팀
교육 의무 신설 — 24시간 연간 교육 이수 권고,LOW,품질보증팀
DASH COMPL 수출 금지 조치 발동 — 관세 20% 부과 확정,HIGH,"품질보증팀,구매팀"
시범 사업 모집 — 스마트팩토리 참여 기업 우대,LOW,해외지원팀
REACH 가이드라인 개정 — 자발적 적용 권고,LOW,ESG경영팀
베트남 시장 진입 불가 — 필수 인가 미취득,HIGH,"개발본부,품질보증팀"
보고 의무 신설 — ESG 분기별 제출 의무화,MEDIUM,안전보건팀
EU 관세율 조정 — 기존 5% → 15%,MEDIUM,ESG경영팀
업계 협의체 구성 — 탄소중립 표준 제정 논의 시작,LOW,해외지원팀
단계적 적용 예정 — 2027년부터 본격 시행,LOW,ESG경영팀
ISO 45001 가이드라인 개정 — 자발적 적용 권고,LOW,해외지원팀
CBAM 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"ESG경영팀,재경팀"
ISO 14001 규제 기준 강화 — 2026-12까지 대응 필요,MEDIUM,품질보증팀
카드뮴 사용 제한 강화 — 허용 농도 5.0ppm 이하로 변경,MEDIUM,안전보건팀
CBAM 규제 기준 강화 — 2026-11까지 대응 필요,MEDIUM,개발본부
OEM 납품 중단 통보 — 검사 기준 기준 미달,HIGH,"품질보증팀,구매팀"
공급망 실사 의무화 — 전체 공급망 범위 확대,MEDIUM,해외지원팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,해외지원팀
배터리 케이스 수출 금지 조치 발동 — 관세 15% 부과 확정,HIGH,"개발본부,품질보증팀"
DASH COMPL 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"품질보증팀,구매팀"
형사 처벌 대상 — 화학물질관리법 위반으로 대표이사 고발 가능,HIGH,"품질보증팀,구매팀"
산업 동향 보고서 — 순환경제 분야 향후 규제 예고,LOW,해외지원팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,ESG경영팀
OEM 납품 중단 통보 — Cpk 기준 미달,HIGH,"품질보증팀,구매팀"
미국 시장 진입 불가 — 필수 인가 미취득,HIGH,"ESG경영팀,재경팀"
카드뮴 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"개발본부,품질보증팀"
산업 동향 보고서 — 순환경제 분야 향후 규제 예고,LOW,품질보증팀
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,안전보건팀
CCH 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,품질보증팀
보고 의무 신설 — 안전 분기별 제출 의무화,MEDIUM,안전보건팀
단계적 적용 예정 — 2027년부터 본격 시행,LOW,해외지원팀
형사 처벌 대상 — 산업안전보건법 위반으로 대표이사 고발 가능,HIGH,"ESG경영팀,재경팀"
베트남 시장 진입 불가 — 필수 인가 미취득,HIGH,"개발본부,품질보증팀"
배터리 케이스 수출 금지 조치 발동 — 관세 30% 부과 확정,HIGH,"ESG경영팀,재경팀"
작업장 조업 중단 명령 — 고온 기준 중대 위반,HIGH,"ESG경영팀,재경팀"
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,품질보증팀
OEM 납품 중단 통보 — 검사 기준 기준 미달,HIGH,"품질보증팀,구매팀"
EWP 수출 금지 조치 발동 — 관세 15% 부과 확정,HIGH,"품질보증팀,구매팀"
ISO 14001 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"ESG경영팀,재경팀"
산업 동향 보고서 — 탄소규제 분야 향후 규제 예고,LOW,ESG경영팀
형사 처벌 대상 — 화학물질관리법 위반으로 대표이사 고발 가능,HIGH,"품질보증팀,구매팀"
업계 협의체 구성 — 탄소중립 표준 제정 논의 시작,LOW,해외지원팀
분진 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,품질보증팀
IRA 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"안전보건팀,생산본부"
EWP 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,개발본부
RoHS 규제 기준 강화 — 2026-08까지 대응 필요,MEDIUM,ESG경영팀
산업 동향 보고서 — 순환경제 분야 향후 규제 예고,LOW,품질보증팀
소음 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,안전보건팀
한국 시장 진입 불가 — 필수 인가 미취득,HIGH,"안전보건팀,생산본부"
모니터링 강화 대상 지정 — 환경 분야 정기 감사,MEDIUM,ESG경영팀
CCH 수출 금지 조치 발동 — 관세 20% 부과 확정,HIGH,"해외지원팀,영업팀"
ISO 14001 가이드라인 개정 — 자발적 적용 권고,LOW,품질보증팀
작업장 조업 중단 명령 — 화재 기준 중대 위반,HIGH,"품질보증팀,구매팀"
범퍼빔 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,구매팀
RoHS 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"ESG경영팀,재경팀"
교육 의무 신설 — 16시간 연간 교육 이수 권고,LOW,해외지원팀
작업장 조업 중단 명령 — 화재 기준 중대 위반,HIGH,"품질보증팀,구매팀"
서브프레임 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,구매팀
베트남 관세율 조정 — 기존 10% → 15%,MEDIUM,안전보건팀
공급망 실사 의무화 — 1차 협력사 범위 확대,MEDIUM,개발본부
ISO 14001 가이드라인 개정 — 자발적 적용 권고,LOW,품질보증팀
IRA 가이드라인 개정 — 자발적 적용 권고,LOW,해외지원팀
교육 의무 신설 — 24시간 연간 교육 이수 권고,LOW,해외지원팀
교육 의무 신설 — 8시간 연간 교육 이수 권고,LOW,해외지원팀
형사 처벌 대상 — 산업안전보건법 위반으로 대표이사 고발 가능,HIGH,"개발본부,품질보증팀"
IATF 16949 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"해외지원팀,영업팀"
서브프레임 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"ESG경영팀,재경팀"
교육 의무 신설 — 40시간 연간 교육 이수 권고,LOW,해외지원팀
OEM 납품 중단 통보 — Cpk 기준 미달,HIGH,"품질보증팀,구매팀"
미국 시장 진입 불가 — 필수 인가 미취득,HIGH,"개발본부,품질보증팀"
작업장 조업 중단 명령 — 전기 안전 기준 중대 위반,HIGH,"품질보증팀,구매팀"
교육 의무 신설 — 8시간 연간 교육 이수 권고,LOW,품질보증팀
범퍼빔 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,해외지원팀
단계적 적용 예정 — 2028년부터 본격 시행,LOW,해외지원팀
산업 동향 보고서 — EV 안전 분야 향후 규제 예고,LOW,개발본부
ISO 14001 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"해외지원팀,영업팀"
중국 관세율 조정 — 기존 5% → 15%,MEDIUM,안전보건팀
납 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"해외지원팀,영업팀"
IRA 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"ESG경영팀,재경팀"
PFAS 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"ESG경영팀,재경팀"
산업 동향 보고서 — 순환경제 분야 향후 규제 예고,LOW,ESG경영팀
아스베스트 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"개발본부,품질보증팀"
배터리 케이스 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"개발본부,품질보증팀"
OEM 납품 중단 통보 — 측정시스템 기준 미달,HIGH,"해외지원팀,영업팀"
DASH COMPL 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"개발본부,품질보증팀"
OEM 납품 중단 통보 — 공정능력 기준 미달,HIGH,"안전보건팀,생산본부"
미국 관세율 조정 — 기존 10% → 25%,MEDIUM,ESG경영팀
"한국 인센티브 프로그램 신설 — 세액공제 $3,000 적용 가능",LOW,해외지원팀
IATF 16949 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"ESG경영팀,재경팀"
PFAS 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"ESG경영팀,재경팀"
CBAM 규제 기준 강화 — 2026-06까지 대응 필요,MEDIUM,개발본부
단계적 적용 예정 — 2030년부터 본격 시행,LOW,품질보증팀
시범 사업 모집 — 스마트팩토리 참여 기업 우대,LOW,품질보증팀
DASH COMPL 수출 금지 조치 발동 — 관세 30% 부과 확정,HIGH,"해외지원팀,영업팀"
아스베스트 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"품질보증팀,구매팀"
시범 사업 모집 — 친환경 참여 기업 우대,LOW,ESG경영팀
CCH 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"품질보증팀,구매팀"
납 사용 제한 강화 — 허용 농도 0.1ppm 이하로 변경,MEDIUM,ESG경영팀
업계 협의체 구성 — 탄소중립 표준 제정 논의 시작,LOW,ESG경영팀
EWP 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,구매팀
고온 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,안전보건팀
DASH COMPL 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,안전보건팀
시범 사업 모집 — 친환경 참여 기업 우대,LOW,해외지원팀
중국 시장 진입 불가 — 필수 인가 미취득,HIGH,"ESG경영팀,재경팀"
시범 사업 모집 — 친환경 참여 기업 우대,LOW,품질보증팀
프탈레이트 사용 제한 강화 — 허용 농도 5.0ppm 이하로 변경,MEDIUM,해외지원팀
범퍼빔 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,안전보건팀
교육 의무 신설 — 40시간 연간 교육 이수 권고,LOW,개발본부
CCH 수출 금지 조치 발동 — 관세 15% 부과 확정,HIGH,"개발본부,품질보증팀"
프탈레이트 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"품질보증팀,구매팀"
RoHS 규제 기준 강화 — 2026-09까지 대응 필요,MEDIUM,안전보건팀
"한국 인센티브 프로그램 신설 — 세액공제 $5,000 적용 가능",LOW,품질보증팀
프탈레이트 사용 제한 강화 — 허용 농도 0.1ppm 이하로 변경,MEDIUM,ESG경영팀
RoHS 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"ESG경영팀,재경팀"
OEM 납품 중단 통보 — 불량률 기준 미달,HIGH,"개발본부,품질보증팀"
유해화학물질 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,안전보건팀
IRA 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"해외지원팀,영업팀"
서브프레임 수출 금지 조치 발동 — 관세 15% 부과 확정,HIGH,"품질보증팀,구매팀"
"베트남 인센티브 프로그램 신설 — 세액공제 $3,000 적용 가능",LOW,개발본부
중국 시장 진입 불가 — 필수 인가 미취득,HIGH,"안전보건팀,생산본부"
형사 처벌 대상 — 화학물질관리법 위반으로 대표이사 고발 가능,HIGH,"품질보증팀,구매팀"
ISO 45001 가이드라인 개정 — 자발적 적용 권고,LOW,품질보증팀
단계적 적용 예정 — 2030년부터 본격 시행,LOW,ESG경영팀
배터리 케이스 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,ESG경영팀
모니터링 강화 대상 지정 — 무역 분야 정기 감사,MEDIUM,개발본부
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,품질보증팀
시범 사업 모집 — ESG 참여 기업 우대,LOW,ESG경영팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,개발본부
OEM 납품 중단 통보 — 검사 기준 기준 미달,HIGH,"해외지원팀,영업팀"
분진 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,ESG경영팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,해외지원팀
작업장 조업 중단 명령 — 기계 안전 기준 중대 위반,HIGH,"해외지원팀,영업팀"
CCH 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"해외지원팀,영업팀"
배터리 케이스 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,품질보증팀
수은 사용 제한 강화 — 허용 농도 0.5ppm 이하로 변경,MEDIUM,해외지원팀
작업장 조업 중단 명령 — 고온 기준 중대 위반,HIGH,"ESG경영팀,재경팀"
ISO 14001 가이드라인 개정 — 자발적 적용 권고,LOW,ESG경영팀
모니터링 강화 대상 지정 — 환경 분야 정기 감사,MEDIUM,개발본부
보고 의무 신설 — 안전 분기별 제출 의무화,MEDIUM,ESG경영팀
DASH COMPL 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"안전보건팀,생산본부"
분진 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,해외지원팀
납 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"ESG경영팀,재경팀"
보고 의무 신설 — ESG 분기별 제출 의무화,MEDIUM,안전보건팀
"미국 인센티브 프로그램 신설 — 세액공제 $5,000 적용 가능",LOW,개발본부
업계 협의체 구성 — 탄소중립 표준 제정 논의 시작,LOW,해외지원팀
"한국 인센티브 프로그램 신설 — 세액공제 $7,500 적용 가능",LOW,해외지원팀
보고 의무 신설 — 안전 분기별 제출 의무화,MEDIUM,안전보건팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,품질보증팀
IATF 16949 인증 즉시 취소 위험 — 기한 내 시정 미이행 시,HIGH,"해외지원팀,영업팀"
6가 크롬 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"안전보건팀,생산본부"
범퍼빔 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,구매팀
업계 협의체 구성 — 재활용 표준 제정 논의 시작,LOW,해외지원팀
고온 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,품질보증팀
IATF 16949 가이드라인 개정 — 자발적 적용 권고,LOW,개발본부
모니터링 강화 대상 지정 — 환경 분야 정기 감사,MEDIUM,안전보건팀
교육 의무 신설 — 40시간 연간 교육 이수 권고,LOW,ESG경영팀
단계적 적용 예정 — 2028년부터 본격 시행,LOW,품질보증팀
단계적 적용 예정 — 2027년부터 본격 시행,LOW,품질보증팀
IATF 16949 규제 기준 강화 — 2026-10까지 대응 필요,MEDIUM,해외지원팀
형사 처벌 대상 — 화학물질관리법 위반으로 대표이사 고발 가능,HIGH,"해외지원팀,영업팀"
교육 의무 신설 — 16시간 연간 교육 이수 권고,LOW,개발본부
베트남 시장 진입 불가 — 필수 인가 미취득,HIGH,"안전보건팀,생산본부"
모니터링 강화 대상 지정 — 안전 분야 정기 감사,MEDIUM,품질보증팀
CCH 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"품질보증팀,구매팀"
시범 사업 모집 — 친환경 참여 기업 우대,LOW,해외지원팀
미국 시장 진입 불가 — 필수 인가 미취득,HIGH,"해외지원팀,영업팀"
IATF 16949 규제 기준 강화 — 2026-11까지 대응 필요,MEDIUM,품질보증팀
6가 크롬 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"개발본부,품질보증팀"
산업 동향 보고서 — EV 안전 분야 향후 규제 예고,LOW,품질보증팀
